id	type	
ChIJhT1xJuhJXhMRB_dOMAB9G8A	restaurant
ChIJhTC7IiA2XhMRDXXA5keTbkU	cafe
ChIJhTC7IiA2XhMRDXXA5keTbkU	establishment
ChIJhTC7IiA2XhMRDXXA5keTbkU	food
ChIJhTC7IiA2XhMRDXXA5keTbkU	point_of_interest
ChIJhVyNxiU2XhMR-047iPt8FPY	establishment
ChIJhVyNxiU2XhMR-047iPt8FPY	hardware_store
ChIJhVyNxiU2XhMR-047iPt8FPY	point_of_interest
ChIJhVyNxiU2XhMR-047iPt8FPY	store
ChIJHz0GwiY2XhMRl8CM130I0qw	establishment
ChIJHz0GwiY2XhMRl8CM130I0qw	point_of_interest
ChIJizF4o5o3XhMRYFqw0tvXBHM	establishment
ChIJizF4o5o3XhMRYFqw0tvXBHM	food
ChIJizF4o5o3XhMRYFqw0tvXBHM	point_of_interest
ChIJizF4o5o3XhMRYFqw0tvXBHM	restaurant
ChIJj56MreNJXhMRWAsKa0J8W4k	establishment
ChIJj56MreNJXhMRWAsKa0J8W4k	hair_care
ChIJj56MreNJXhMRWAsKa0J8W4k	point_of_interest
ChIJJU-orzo2XhMRWpzclnuGfzw	establishment
ChIJJU-orzo2XhMRWpzclnuGfzw	food
ChIJJU-orzo2XhMRWpzclnuGfzw	liquor_store
ChIJJU-orzo2XhMRWpzclnuGfzw	point_of_interest
ChIJJU-orzo2XhMRWpzclnuGfzw	store
ChIJJXZNNjtJXhMR_2Oug8KxoHw	establishment
ChIJJXZNNjtJXhMR_2Oug8KxoHw	food
ChIJJXZNNjtJXhMR_2Oug8KxoHw	grocery_or_supermarket
ChIJJXZNNjtJXhMR_2Oug8KxoHw	point_of_interest
ChIJJXZNNjtJXhMR_2Oug8KxoHw	store
ChIJk0zmsB82XhMRaUVxT1MhpGY	establishment
ChIJk0zmsB82XhMRaUVxT1MhpGY	food
ChIJk0zmsB82XhMRaUVxT1MhpGY	point_of_interest
ChIJk0zmsB82XhMRaUVxT1MhpGY	store
ChIJK2mtFN9JXhMRQgGlzRIXc6k	establishment
ChIJK2mtFN9JXhMRQgGlzRIXc6k	point_of_interest
ChIJkRhinSg2XhMRipOQ12_hPzI	cafe
ChIJkRhinSg2XhMRipOQ12_hPzI	establishment
ChIJkRhinSg2XhMRipOQ12_hPzI	food
ChIJkRhinSg2XhMRipOQ12_hPzI	point_of_interest
ChIJKT-X7SA2XhMR2dSVr5pougg	establishment
ChIJKT-X7SA2XhMR2dSVr5pougg	food
ChIJKT-X7SA2XhMR2dSVr5pougg	grocery_or_supermarket
ChIJKT-X7SA2XhMR2dSVr5pougg	point_of_interest
ChIJKT-X7SA2XhMR2dSVr5pougg	store
ChIJKT-X7SA2XhMR2dSVr5pougg	supermarket
ChIJKy7R3SY2XhMReaxikN_Jbb0	bakery
ChIJKy7R3SY2XhMReaxikN_Jbb0	establishment
ChIJKy7R3SY2XhMReaxikN_Jbb0	food
ChIJKy7R3SY2XhMReaxikN_Jbb0	point_of_interest
ChIJKy7R3SY2XhMReaxikN_Jbb0	store
ChIJl4E8Nd1JXhMRIItSjXdfOXo	establishment
ChIJl4E8Nd1JXhMRIItSjXdfOXo	point_of_interest
ChIJLbeqKhk2XhMRKRTbz6Mkha4	establishment
ChIJLbeqKhk2XhMRKRTbz6Mkha4	hair_care
ChIJLbeqKhk2XhMRKRTbz6Mkha4	point_of_interest
ChIJlQV3HyY2XhMRpjjYBlws0d4	accounting
ChIJlQV3HyY2XhMRpjjYBlws0d4	establishment
ChIJlQV3HyY2XhMRpjjYBlws0d4	finance
ChIJlQV3HyY2XhMRpjjYBlws0d4	point_of_interest
ChIJlQzUWic2XhMRRj2o3g9QiWw	establishment
ChIJlQzUWic2XhMRRj2o3g9QiWw	laundry
ChIJlQzUWic2XhMRRj2o3g9QiWw	point_of_interest
ChIJLWNTMuhJXhMRc0uCYczaWys	bar
ChIJLWNTMuhJXhMRc0uCYczaWys	establishment
ChIJLWNTMuhJXhMRc0uCYczaWys	point_of_interest
ChIJMQP6EbU3XhMRBtsPNWT_DiQ	cafe
ChIJMQP6EbU3XhMRBtsPNWT_DiQ	establishment
ChIJMQP6EbU3XhMRBtsPNWT_DiQ	food
ChIJMQP6EbU3XhMRBtsPNWT_DiQ	point_of_interest
ChIJMSeG8hk2XhMRRhwsF8fhP3Y	establishment
ChIJMSeG8hk2XhMRRhwsF8fhP3Y	point_of_interest
ChIJmxF_PCc2XhMRJpnrz44FtbU	establishment
ChIJmxF_PCc2XhMRJpnrz44FtbU	food
ChIJmxF_PCc2XhMRJpnrz44FtbU	grocery_or_supermarket
ChIJmxF_PCc2XhMRJpnrz44FtbU	point_of_interest
ChIJmxF_PCc2XhMRJpnrz44FtbU	store
ChIJmzSR7SA2XhMRpWcgvrhnQEY	bakery
ChIJmzSR7SA2XhMRpWcgvrhnQEY	establishment
ChIJmzSR7SA2XhMRpWcgvrhnQEY	food
ChIJmzSR7SA2XhMRpWcgvrhnQEY	point_of_interest
ChIJmzSR7SA2XhMRpWcgvrhnQEY	store
ChIJn65BbOJJXhMRRvBmSjqKNX0	electronics_store
ChIJn65BbOJJXhMRRvBmSjqKNX0	establishment
ChIJn65BbOJJXhMRRvBmSjqKNX0	point_of_interest
ChIJn65BbOJJXhMRRvBmSjqKNX0	store
ChIJNce1WSQ2XhMRCxdWbKOr_8M	cafe
ChIJNce1WSQ2XhMRCxdWbKOr_8M	establishment
ChIJNce1WSQ2XhMRCxdWbKOr_8M	food
ChIJNce1WSQ2XhMRCxdWbKOr_8M	point_of_interest
ChIJNQv7Pxw2XhMReRJTJFtt4xc	cafe
ChIJNQv7Pxw2XhMReRJTJFtt4xc	establishment
ChIJNQv7Pxw2XhMReRJTJFtt4xc	food
ChIJNQv7Pxw2XhMReRJTJFtt4xc	point_of_interest
ChIJnyLA8iM2XhMR2MQ82SsQXww	establishment
ChIJnyLA8iM2XhMR2MQ82SsQXww	point_of_interest
ChIJnyLA8iM2XhMR2MQ82SsQXww	store
ChIJn_SgKe03XhMRvsbE3xFr8Ao	car_repair
ChIJn_SgKe03XhMRvsbE3xFr8Ao	establishment
ChIJn_SgKe03XhMRvsbE3xFr8Ao	point_of_interest
ChIJOeK7WuhJXhMRp1dmjE1OOmo	electronics_store
ChIJOeK7WuhJXhMRp1dmjE1OOmo	establishment
ChIJOeK7WuhJXhMRp1dmjE1OOmo	point_of_interest
ChIJOeK7WuhJXhMRp1dmjE1OOmo	store
ChIJOfXygiQ2XhMRZmdy1DIIEg4	convenience_store
ChIJOfXygiQ2XhMRZmdy1DIIEg4	establishment
ChIJOfXygiQ2XhMRZmdy1DIIEg4	food
ChIJOfXygiQ2XhMRZmdy1DIIEg4	grocery_or_supermarket
ChIJOfXygiQ2XhMRZmdy1DIIEg4	point_of_interest
ChIJOfXygiQ2XhMRZmdy1DIIEg4	store
ChIJowSURxM3XhMRmbAxgMezpuk	establishment
ChIJowSURxM3XhMRmbAxgMezpuk	point_of_interest
ChIJowSURxM3XhMRmbAxgMezpuk	store
ChIJOztsXBk2XhMRIu0EEdF27js	drugstore
ChIJOztsXBk2XhMRIu0EEdF27js	establishment
ChIJOztsXBk2XhMRIu0EEdF27js	health
ChIJOztsXBk2XhMRIu0EEdF27js	point_of_interest
ChIJOztsXBk2XhMRIu0EEdF27js	store
ChIJoZu2ICE2XhMRaYhwPdvHLkY	establishment
ChIJoZu2ICE2XhMRaYhwPdvHLkY	home_goods_store
ChIJoZu2ICE2XhMRaYhwPdvHLkY	point_of_interest
ChIJoZu2ICE2XhMRaYhwPdvHLkY	store
ChIJP-URlSY2XhMRXXseyEczfzI	cafe
ChIJP-URlSY2XhMRXXseyEczfzI	establishment
ChIJP-URlSY2XhMRXXseyEczfzI	food
ChIJP-URlSY2XhMRXXseyEczfzI	point_of_interest
ChIJP-URlSY2XhMRXXseyEczfzI	store
ChIJP1bzTS82XhMRKDyRa4_p-j4	establishment
ChIJP1bzTS82XhMRKDyRa4_p-j4	point_of_interest
ChIJpxBoqb43XhMRPoXjQGIk2C0	establishment
ChIJpxBoqb43XhMRPoXjQGIk2C0	hair_care
ChIJpxBoqb43XhMRPoXjQGIk2C0	point_of_interest
ChIJpYe_5iM2XhMRxwCviSFImLA	bakery
ChIJpYe_5iM2XhMRxwCviSFImLA	establishment
ChIJpYe_5iM2XhMRxwCviSFImLA	food
ChIJpYe_5iM2XhMRxwCviSFImLA	point_of_interest
ChIJpYe_5iM2XhMRxwCviSFImLA	store
ChIJq8ifLjQ3XhMRwe_o9v8rl_M	establishment
ChIJq8ifLjQ3XhMRwe_o9v8rl_M	hair_care
ChIJq8ifLjQ3XhMRwe_o9v8rl_M	point_of_interest
ChIJqXfObCc2XhMRnI9QBuMheio	establishment
ChIJqXfObCc2XhMRnI9QBuMheio	hair_care
ChIJqXfObCc2XhMRnI9QBuMheio	point_of_interest
ChIJqXT_xCU2XhMRc5ulGeOpCoc	cafe
ChIJqXT_xCU2XhMRc5ulGeOpCoc	establishment
ChIJqXT_xCU2XhMRc5ulGeOpCoc	food
ChIJqXT_xCU2XhMRc5ulGeOpCoc	point_of_interest
ChIJqXT_xCU2XhMRc5ulGeOpCoc	store
ChIJQZbR3xQ3XhMRyaR2SBYu29I	car_wash
ChIJQZbR3xQ3XhMRyaR2SBYu29I	establishment
ChIJQZbR3xQ3XhMRyaR2SBYu29I	point_of_interest
ChIJR56ibOhJXhMRc3gu6QZZ8ek	establishment
ChIJR56ibOhJXhMRc3gu6QZZ8ek	point_of_interest
ChIJR56ibOhJXhMRc3gu6QZZ8ek	store
ChIJRb9uAz43XhMRexZ2BgsH0cs	establishment
ChIJRb9uAz43XhMRexZ2BgsH0cs	lodging
ChIJRb9uAz43XhMRexZ2BgsH0cs	point_of_interest
ChIJRbfvEiY2XhMRy1BekwIyAC4	car_repair
ChIJRbfvEiY2XhMRy1BekwIyAC4	establishment
ChIJRbfvEiY2XhMRy1BekwIyAC4	point_of_interest
